"game","company","relation"
7474,3841,"publisher"
7474,461,"developer"
7480,1975,"publisher"
7480,1975,"developer"
7514,4826,"publisher"
7514,1405,"developer"
7545,755,"publisher"
7545,754,"developer"
7584,2967,"publisher"
7584,3837,"developer"
7592,3841,"publisher"
7592,3841,"developer"
7615,1106,"publisher"
7615,11342,"publisher"
7615,299,"developer"
7615,10693,"developer"
7660,132,"publisher"
7660,373,"publisher"
7660,150,"developer"
7668,322,"publisher"
7668,1030,"developer"
7695,766,"publisher"
7695,766,"developer"
7725,6399,"publisher"
7725,6577,"developer"
7748,253,"publisher"
7748,106,"developer"
7755,3883,"publisher"
7755,3883,"developer"
7766,450,"publisher"
7766,651,"developer"
7766,6135,"developer"
7829,1544,"publisher"
7829,30,"publisher"
7829,3903,"developer"
7829,6729,"developer"
7834,885,"publisher"
7834,885,"developer"
7896,3913,"publisher"
7896,3913,"developer"
7974,512,"publisher"
7974,512,"developer"
7984,491,"publisher"
7984,657,"developer"
7997,88,"publisher"
7997,1532,"developer"
8028,66,"publisher"
8028,778,"developer"
8132,3970,"publisher"
8132,3970,"developer"
8140,15,"publisher"
8140,3936,"developer"
8168,3883,"publisher"
8168,3883,"developer"
8230,1203,"publisher"
8230,1203,"developer"
8266,66,"publisher"
8266,3993,"developer"
8276,725,"publisher"
8276,10881,"developer"
8315,1703,"publisher"
8315,1405,"developer"
8330,1753,"publisher"
8330,271,"publisher"
8330,271,"developer"
8332,4008,"publisher"
8332,3978,"developer"
8385,816,"publisher"
8385,3750,"developer"
8426,2509,"publisher"
8426,2838,"publisher"
8426,2509,"developer"
8426,10693,"developer"
8432,455,"publisher"
8432,503,"developer"
8466,82,"publisher"
8466,1921,"developer"
8490,1045,"publisher"
8490,2343,"developer"
8504,6983,"publisher"
8504,4378,"developer"
8504,3,"developer"
8542,1465,"publisher"
8542,9429,"publisher"
8542,1465,"developer"
8629,4073,"publisher"
8629,6946,"publisher"
8629,4074,"developer"
8695,67,"publisher"
8695,2194,"developer"
8697,78,"publisher"
8697,1,"publisher"
8697,4090,"developer"
8736,959,"publisher"
8736,78,"publisher"
8736,1004,"developer"
8760,1,"publisher"
8760,41,"developer"
8760,1096,"developer"
8785,5815,"publisher"
8785,981,"publisher"
8785,981,"developer"
8785,3841,"developer"
8823,1654,"publisher"
8823,3214,"developer"
8828,2358,"publisher"
8828,672,"developer"
8829,2242,"developer"
8832,658,"publisher"
8832,5614,"publisher"
8832,107,"developer"
8919,627,"publisher"
8919,4143,"developer"
8938,1210,"publisher"
8938,1210,"developer"
8956,1394,"publisher"
8956,1394,"developer"
8957,556,"publisher"
8957,11359,"publisher"
8957,2973,"developer"
9000,1279,"publisher"
9000,4157,"developer"
9004,281,"publisher"
9004,281,"developer"
9037,62,"publisher"
9037,4164,"developer"
9037,700,"developer"
9079,4880,"publisher"
9079,4880,"developer"
9109,548,"publisher"
9109,395,"developer"
9109,841,"developer"
9123,6983,"publisher"
9123,1221,"publisher"
9123,2463,"developer"
9123,3409,"developer"
9164,353,"publisher"
9164,1673,"developer"
9169,6399,"publisher"
9169,4192,"developer"
9203,36,"publisher"
9203,1422,"publisher"
9203,4203,"developer"
9227,2991,"publisher"
9227,4210,"publisher"
9227,4209,"developer"
9307,6983,"publisher"
9307,2695,"publisher"
9307,2695,"developer"
9343,1,"publisher"
9343,1,"developer"
9343,86,"developer"
9348,476,"publisher"
9348,476,"developer"
9374,448,"publisher"
9374,873,"developer"
9378,2695,"publisher"
9378,2781,"publisher"
9378,2695,"developer"
9387,995,"publisher"
9387,2695,"developer"
9423,6376,"publisher"
9423,1977,"publisher"
9423,1977,"developer"
9424,322,"publisher"
9424,986,"developer"
9495,150,"publisher"
9495,780,"publisher"
9495,3603,"developer"
9506,548,"publisher"
9506,752,"publisher"
9506,794,"developer"
9506,4281,"developer"
9545,1569,"publisher"
9545,2240,"developer"
9558,595,"publisher"
9558,1166,"developer"
